# Seep Logos サービス価格表 v1
# 作成日: 2026-03-23
# 決定事項: 初期投資工数（Web: 17h / SNS: 10〜20h）は利益から償却。販売価格には含めない。
# 価格はすべて税別

サービス区分,プラン名,想定用途,工数目安(h),販売価格(税別),備考
Webサイト制作スターターパック,ライトプラン,ティザーサイト・情報解禁ページ,〜15h,160,000円〜,ドメイン+ホスティング1年分込み
Webサイト制作スターターパック,スタンダードプラン,本格プロモーションサイト,〜26h,310,000円〜,ドメイン+ホスティング1年分込み
Webサイト制作スターターパック,プレミアムプラン,世界観没入型サイト・IP立上げ旗艦ページ,〜30h,460,000円〜,ドメイン+ホスティング1年分込み
SNS運用スターターパック,シングルプラン,1プラットフォーム運用（X / Discord / Instagram いずれか）,20〜26h/月,120,000円〜/月,初期整備費は社内償却。2年目以降ドメイン更新費はクライアント負担
SNS運用スターターパック,マルチプラン,2プラットフォーム以上の運用,40〜46h/月,250,000円〜/月,増員前提。現体制では原則シングルプランのみ提供

サービス区分,項目,単価(税別),備考
オプション・追加費用,追加修正（3ラウンド目以降）,15,000円/h,事前合意後に適用
オプション・追加費用,スコープ外機能実装（テンプレート準拠外のJS等）,別途見積もり,受注前にスコープを明文化
オプション・追加費用,SNS工数超過（月次上限超え）,10,000円/h,翌月分から適用。事前協議のうえ設定

サービス区分,項目,内容
内製単価参考,Webデザイナー,8,000〜10,000円/h（AI・テンプレート活用後）
内製単価参考,SNS制作者,6,000〜8,000円/h（AI活用後）

サービス区分,項目,内容
工数制約（現体制）,1人あたり月次上限,20〜30h/月（週5〜7.5h）
工数制約（現体制）,Webサイト制作 同時対応上限,1社・月1案件
工数制約（現体制）,SNS運用 同時対応上限,1社・1プラットフォーム

サービス区分,項目,方針
初期投資コスト,Webサイト制作テンプレート整備,17h相当（社内償却・販売価格に含めない）
初期投資コスト,SNS運用テンプレート整備,10〜20h相当（社内償却・販売価格に含めない）
